IGRALEC;EKIPA;POZICIJA;STAROST;VISINA;TEZA;DRZAVA;GP;MPG;PPG;APG;RPG;SPG;FT;2;3;;;
Aaron Brooks;MIN;PG;33;6-0;161;USA;32;5.9;2.3;0.6;0.5;0.19;0.727;0.447;0.355;;;
Aaron Gordon;ORL;SF;22;6-9;220;USA;58;32.9;17.6;2.3;7.9;1.02;0.698;0.497;0.336;;;
Aaron Harrison;DAL;SG;23;6-6;210;USA;9;25.9;6.7;1.2;2.7;1;0.765;0.385;0.209;;;
Aaron Jackson;HOU;F;31;6-3;183;USA;1;34.5;8;1;3;0;0.5;0.4;0.25;;;
Abdel Nader;BOS;SF;24;6-6;230;Egypt;48;10.9;3;0.5;1.5;0.31;0.59;0.321;0.354;;;
Adreian Payne;ORL;PF;26;6-10;237;USA;5;8.5;4.2;0;1.8;0.4;0.833;0.714;0.667;;;
Al Horford;BOS;C;31;6-10;245;Dominican Republic;72;31.6;12.9;4.7;7.4;0.6;0.783;0.514;0.429;;;
Al Jefferson;IND;C;33;6-10;280;USA;36;13.4;7;0.8;4;0.44;0.833;0.541;0;;;
Alan Williams;PHX;PF;25;6-8;265;USA;5;14.1;4;1.6;4.4;1;0.667;0.389;0;;;
Alec Burks;UTA;SG;26;6-6;214;USA;64;16.5;7.7;1;3;0.58;0.863;0.452;0.331;;;
Alec Peters;PHX;PF;22;6-9;235;USA;20;11.2;4.1;0.6;1.9;0.1;0.8;0.625;0.31;;;
Alex Abrines;OKC;SG;24;6-6;190;Spain;75;15.1;4.7;0.4;1.5;0.51;0.848;0.443;0.38;;;
Alex Caruso;LAL;SG;23;6-5;186;USA;37;15.2;3.6;2;1.8;0.65;0.7;0.507;0.302;;;
Alex Len;PHX;C;24;7-1;250;Ukraine;69;20.2;8.5;1.2;7.5;0.39;0.684;0.568;0.333;;;
Alex Poythress;IND;SF;24;6-9;235;USA;25;4.2;1;0.1;0.7;0.12;0;0.467;0.364;;;
Al-Farouq Aminu;POR;SF;27;6-9;220;USA;69;30;9.3;1.2;7.6;1.14;0.738;0.432;0.369;;;
Alfonzo McKinnie;TOR;F;25;6-8;215;USA;14;3.8;1.5;0.1;0.5;0.07;0.667;0.833;0.333;;;
Allen Crabbe;BKN;SG;25;6-6;215;USA;75;29.3;13.2;1.6;4.3;0.63;0.852;0.461;0.378;;;
Amir Johnson;PHI;PF;30;6-9;240;USA;74;15.8;4.6;1.6;4.5;0.61;0.612;0.57;0.313;;;
Andre Drummond;DET;C;24;6-11;279;USA;78;33.7;15;3;16;1.46;0.605;0.536;0;;;
Andre Iguodala;GSW;SF;34;6-6;215;USA;64;25.4;6;3.3;3.8;0.84;0.632;0.567;0.282;;;
Andre Ingram;LAL;G;32;6-3;190;USA;2;32.1;12;3.5;3;1.5;1;0.375;0.556;;;
Andre Roberson;OKC;SF;26;6-7;210;USA;39;26.6;5;1.2;4.7;1.15;0.316;0.627;0.222;;;
Andrew Bogut;LAL;C;33;7-0;260;Australia;23;9.4;1.6;0.7;3.4;0.17;1;0.68;0;;;
Andrew Harrison;MEM;SG;23;6-6;213;USA;56;23.7;9.5;3.2;2.3;0.68;0.78;0.467;0.331;;;
Andrew White III;ATL;SF;24;6-7;210;USA;15;13.9;4.6;0.4;2.3;0.2;0.25;0.292;0.367;;;
Andrew Wiggins;MIN;SF;22;6-8;202;Canada;82;36.3;17.7;2;4.4;1.11;0.643;0.475;0.331;;;
Ante Zizic;CLE;PF;21;6-11;250;Croatia;32;6.7;3.7;0.2;1.9;0.06;0.724;0.731;0;;;
Anthony Brown;MIN;SF;25;6-7;224;USA;1;3.7;3;1;0;0;0;0;1;;;
Anthony Davis;NOP;PF;24;6-10;253;USA;75;36.4;28.1;2.3;11.1;1.53;0.828;0.558;0.34;;;
Anthony Tolliver;DET;PF;32;6-8;240;USA;79;22.2;8.9;1.1;3.1;0.41;0.802;0.561;0.436;;;
Antonio Blakeney;CHI;SG;21;6-4;197;USA;19;16.5;7.9;1.1;1.7;0.37;0.769;0.418;0.288;;;
Antonius Cleveland;ATL;SG;23;6-6;195;USA;13;6.2;0.8;0.2;0.8;0.46;0.5;0.308;0;;;
Aron Baynes;BOS;C;31;6-10;260;Australia;81;18.3;6;1.1;5.3;0.27;0.756;0.487;0.143;;;
Arron Afflalo;ORL;SG;32;6-5;210;USA;53;12.9;3.4;0.6;1.2;0.08;0.846;0.413;0.386;;;
Austin Rivers;LAC;SG;25;6-4;200;USA;61;33.7;15.1;4;2.4;1.21;0.642;0.461;0.378;;;
Avery Bradley;LAC;SG;27;6-2;180;USA;40;31.7;15;2.1;2.4;1.15;0.763;0.423;0.381;;;
Bam Adebayo;MIA;PF;20;6-10;255;USA;69;19.8;6.9;1.5;5.5;0.46;0.721;0.523;0;;;
Ben McLemore;MEM;SG;24;6-5;195;USA;56;19.5;7.5;0.9;2.5;0.68;0.828;0.477;0.346;;;
Ben Moore;IND;PF;22;6-8;220;USA;2;4.7;0;0.5;0.5;0;0;0;0;;;
Ben Simmons;PHI;PG;21;6-10;230;Australia;81;33.7;15.8;8.2;8.1;1.73;0.56;0.551;0;;;
Bismack Biyombo;ORL;C;25;6-9;255;DR Congo;82;18.2;5.7;0.8;5.7;0.26;0.65;0.521;0;;;
Blake Griffin;DET;PF;28;6-10;251;USA;33;34.5;22.6;5.4;7.9;0.91;0.785;0.488;0.342;;;
Boban Marjanovic;LAC;C;29;7-3;290;Serbia;20;8.3;5.9;0.4;4.4;0.3;0.788;0.551;0;;;
Bobby Brown;HOU;PG;33;6-2;175;USA;20;5.7;2.5;0.6;0.4;0.2;0.5;0.444;0.275;;;
Bobby Portis;CHI;PF;22;6-11;248;USA;73;22.5;13.2;1.7;6.8;0.67;0.769;0.514;0.359;;;
Bogdan Bogdanovic;SAC;SG;25;6-6;205;Serbia;78;27.9;11.8;3.3;2.9;0.92;0.84;0.485;0.392;;;
Bojan Bogdanovic;IND;SF;28;6-8;230;Croatia;80;30.8;14.3;1.5;3.4;0.69;0.868;0.534;0.402;;;
Bradley Beal;WAS;SG;24;6-5;207;USA;82;36.3;22.6;4.5;4.4;1.18;0.791;0.507;0.375;;;
Brandan Wright;MEM;PF;30;6-10;235;USA;27;13.5;5;0.5;3.4;0.48;0.636;0.576;0;;;
Brandon Ingram;LAL;SF;20;6-9;190;USA;59;33.5;16.1;3.9;5.3;0.76;0.681;0.483;0.39;;;
Brandon Jennings;MIL;PG;28;6-1;170;USA;14;14.7;5.2;3.1;2.2;0.43;1;0.462;0.273;;;
Brandon Paul;SAS;SG;26;6-4;200;ZDA;64;9;2.3;0.6;1.1;0.39;0.512;0.548;0.278;;;
Briante Weber;MEM;PG;25;6-2;165;USA;13;9.1;2;1;1.4;0.77;1;0.385;0.444;;;
