Ime ekipe;Kratica;Sponzor na dresu
Los Angeles Clippers ;LAC;Bumble Mobile Dating App
Miami Heat;MIA;Ultimate Software
Los Angeles Lakers;LAL;Wish Mobile Shopping App (ContextLogic)
New York Knicks;NYK;Squarespace
Atlanta Hawks;ATL;Sharecare
Charlotte Hornets;CHA;LendingTree
New Orleans Pelicans;NOP;Zatarain’s
Golden State Warriors;GSW;Rakuten
Denver Nuggets;DEN;Western Union
Detroit Pistons;DET;Flagstar Bank
Sacramento Kings;SAC;Blue Diamond Almonds
Minnesota Timberwolves;MIN;Fitbit
Milwaukee Bucks;MIL;Harley Davidson
Toronto Raptors;TOR;Sun Life
Utah Jazz;UTA;(5 for the Fight cancer charity by) SAP Qualtrics
Orlando Magic;ORL;Disney
Boston Celtics;BOS;General Electric (GE)
Brooklyn Nets;BKN;Infor
Cleveland Cavaliers;CLE;Goodyear Tire
Philadelphia 76ers;PHI;StubHub
Chicago Bulls;CHI;Zenni Optical
San Antonio Spurs;SAS;Frost Bank
Houston Rockets;HOU;Rokit Phones
Phoenix Suns;PHX;PayPal
Memphis Grizzlies;MEM;FedEx
Indiana Pacers;IND;Motorola
Oklahoma City Thunder;OKC;Love’s Travel Stops and Country Stores
Portland Trail Blazers;POR;Biofreeze
Dallas Mavericks;DAL;Chime Mobile Banking App
Washington Wizards ;WAS;Geico
