Ime ekipe;Kratica;Sponzor na dresu
Atlanta Hawks;ATL;Sharecare
Boston Celtics;BOS;General Electric
Brooklyn Nets;BKN;Infor
Charlotte Hornets;CHA;LendingTree
Chicago Bulls;CHI;
Cleveland Cavaliers;CLE;Goodyear
Dallas Mavericks;DAL;
Denver Nuggets;DEN;Western Union
Detroit Pistons;DET;Flagstar Bank
Golden State Warriors;GSW;Rakuten
Houston Rockets;HOU;
Indiana Pacers;IND;
Los Angeles Clippers ;LAC;
Los Angeles Lakers;LAL;Wish
Memphis Grizzlies;MEM;
Miami Heat;MIA;Ultimate Software
Milwaukee Bucks;MIL;Harley Davidson
Minnesota Timberwolves;MIN;Fitbit
New Orleans Pelicans;NOP;Zatarain's
New York Knicks;NYK;Squarespace
Oklahoma City Thunder;OKC;
Orlando Magic;ORL;Disney
Philadelphia 76ers;PHI;StubHub
Phoenix Suns;PHX;
Portland Trail Blazers;POR;
Sacramento Kings;SAC;Blue Diamond Almonds
San Antonio Spurs;SAS;
Toronto Raptors;TOR;Sun Life
Utah Jazz;UTA;Qualtrics (5 for the fight)
Washington Wizards ;WAS;
